State,State_FIPS_Code,County,County_FIPS_Code,ITOP_2016,ITOP_2017,ITOP_2018,ITOP_2019,ITOP_2020,ITOP_2021
Alabama,1000,Total,County Fips Code,6959,6768,7381,7538,7466,8294
Alabama,1000,Autauga ,1001,NR,NR,NR,NR,NR,NR
Alabama,1000,Baldwin ,1003,NR,NR,NR,NR,NR,NR
Alabama,1000,Barbour ,1005,NR,NR,NR,NR,NR,NR
Alabama,1000,Bibb ,1007,NR,NR,NR,NR,NR,NR
Alabama,1000,Blount ,1009,NR,NR,NR,NR,NR,NR
Alabama,1000,Bullock ,1011,NR,NR,NR,NR,NR,NR
Alabama,1000,Butler ,1013,NR,NR,NR,NR,NR,NR
Alabama,1000,Calhoun ,1015,NR,NR,NR,NR,NR,NR
Alabama,1000,Chambers ,1017,NR,NR,NR,NR,NR,NR
Alabama,1000,Cherokee ,1019,NR,NR,NR,NR,NR,NR
Alabama,1000,Chilton ,1021,NR,NR,NR,NR,NR,NR
Alabama,1000,Choctaw ,1023,NR,NR,NR,NR,NR,NR
Alabama,1000,Clarke ,1025,NR,NR,NR,NR,NR,NR
Alabama,1000,Clay ,1027,NR,NR,NR,NR,NR,NR
Alabama,1000,Cleburne ,1029,NR,NR,NR,NR,NR,NR
Alabama,1000,Coffee ,1031,NR,NR,NR,NR,NR,NR
Alabama,1000,Colbert ,1033,NR,NR,NR,NR,NR,NR
Alabama,1000,Conecuh ,1035,NR,NR,NR,NR,NR,NR
Alabama,1000,Coosa ,1037,NR,NR,NR,NR,NR,NR
Alabama,1000,Covington ,1039,NR,NR,NR,NR,NR,NR
Alabama,1000,Crenshaw ,1041,NR,NR,NR,NR,NR,NR
Alabama,1000,Cullman ,1043,NR,NR,NR,NR,NR,NR
Alabama,1000,Dale ,1045,NR,NR,NR,NR,NR,NR
Alabama,1000,Dallas ,1047,NR,NR,NR,NR,NR,NR
Alabama,1000,DeKalb ,1049,NR,NR,NR,NR,NR,NR
Alabama,1000,Elmore ,1051,NR,NR,NR,NR,NR,NR
Alabama,1000,Escambia ,1053,NR,NR,NR,NR,NR,NR
Alabama,1000,Etowah ,1055,NR,NR,NR,NR,NR,NR
Alabama,1000,Fayette ,1057,NR,NR,NR,NR,NR,NR
Alabama,1000,Franklin ,1059,NR,NR,NR,NR,NR,NR
Alabama,1000,Geneva ,1061,NR,NR,NR,NR,NR,NR
Alabama,1000,Greene ,1063,NR,NR,NR,NR,NR,NR
